"","sample","phase","tab","rep","nominal_time","dw_g","time_h","Cd111_ppb","Cd114_ppb","Cu63_ppb","Cu65_ppb","Ni60_ppb","Ni62_ppb","clear"
"65","Bioa_labeling_1d_4_3","Bioa","1",4,"24h",0.0559,24.75,0.624604302876182,6.50700542451629,6.02567954442029,22.2674794314076,3.04612956167055,8.32856025456452,0
"66","Bioa_labeling_1d_4_4","Bioa","1",4,"24h",0.0972,24.75,0.640996195259348,6.06602507219753,6.28374046844938,38.8004723092379,3.73282179944757,14.6448409128117,0
"67","TD_labeling_1d_1_1","TD","1",1,"24h",0.1,24.2166666666667,0.566486506368253,6.32823113630758,6.22157498568278,32.2747002875078,5.81362983408826,16.0054202633116,0
"68","TD_labeling_1d_1_2","TD","1",1,"24h",0.069,24.2166666666667,0.599632981767819,6.05004682995265,7.25905122090699,33.7900991264362,7.01679758203951,17.6747068251575,0
"69","TD_labeling_1d_1_3","TD","1",1,"24h",0.1024,24.2166666666667,0.6987873682922,5.59526936033091,5.02960578534456,21.2887884375789,7.38865626408056,14.4054808487896,0
"70","TD_labeling_1d_2_1","TD","1",2,"24h",0.0878,24.3,0.560740353269503,8.01453564153538,8.54845941421361,39.168889903247,9.48495547778744,28.1257910615754,0
"71","TD_labeling_1d_2_2","TD","1",2,"24h",0.0854,24.3,1.11336321776821,6.96389558093441,6.19762509376862,27.1370920360818,7.21407737618349,14.5285258158928,0
"72","TD_labeling_1d_2_3","TD","1",2,"24h",0.1238,24.3,0.680614603391082,5.60783652280834,5.93513003919596,28.2208066604467,6.12490286514863,12.6113120773731,0
"73","TD_labeling_1d_3_1","TD","1",3,"24h",0.118,24.2166666666667,0.555885204814503,4.97700936406747,6.33711826961125,33.2099490235292,4.80389853058251,9.90107606108071,0
"74","TD_labeling_1d_3_2","TD","1",3,"24h",0.1226,24.2166666666667,0.550431195522763,6.22723991715922,7.9711858833231,33.5607747809468,9.83050760036072,15.9701083656761,0
"75","TD_labeling_1d_3_3","TD","1",3,"24h",0.0635,24.2166666666667,0.342197774280802,5.42892017843029,8.54699677966392,59.4356589347296,7.30250816503468,23.9443973314036,0
"76","TD_labeling_1d_4_1","TD","1",4,"24h",0.1113,24.2166666666667,0.492730765593589,5.41595938745942,5.51316304180301,21.1534488967888,4.02717469018831,12.3684915003485,0
"77","TD_labeling_1d_4_2","TD","1",4,"24h",0.0725,24.2166666666667,0.405713212509557,5.24184011623424,7.5647349318517,43.9471367695162,6.84283869519307,16.6764883192538,0
"78","TD_labeling_1d_4_3","TD","1",4,"24h",0.0653,24.2166666666667,0.580684386182959,5.08422905607664,9.50218986689656,54.4505236444006,4.78649985765641,14.8506256877261,0
